client_id,preferred_neighborhood,min_price,max_price,min_bedrooms,max_bedrooms,min_bathrooms,max_bathrooms,min_year_built,max_year_built
1,NWAmes,178603,207393,3,5,2,3,1944,2015
2,NoRidge,152256,255681,3,5,2,2,1903,2002
3,OldTown,189135,377790,4,4,2,2,1935,2010
4,Mitchel,135222,250860,2,4,1,2,1969,2024
5,NWAmes,177373,325658,2,5,2,2,1930,2018
6,Edwards,179575,357382,2,5,2,2,1918,2013
7,Crawfor,196354,394807,2,4,1,2,1960,2005
8,NWAmes,184651,270468,3,5,2,2,1953,2023
9,OldTown,163335,383735,2,3,2,3,1938,2024
10,Mitchel,110965,298507,4,4,1,2,1990,2001
11,NoRidge,124538,309752,4,5,2,2,1973,2022
12,OldTown,170592,318907,2,4,1,3,1989,2001
13,OldTown,198018,343761,2,3,1,3,1918,2018
14,Crawfor,108110,225343,4,4,2,3,1938,2015
15,Somerst,179309,368230,4,4,2,2,1966,2017
16,Mitchel,127266,398936,3,4,2,3,1944,2011
17,Veenker,152992,306309,4,4,2,2,1912,2021
18,OldTown,182948,383156,3,3,1,2,1991,2022
19,Somerst,198806,306082,3,4,2,2,1957,2017
20,Veenker,106910,396806,3,4,1,2,1919,2013
21,Mitchel,190982,289046,3,5,2,3,1991,2001
22,CollgCr,100206,234699,3,4,2,3,1971,2002
23,Edwards,187054,310079,2,5,2,2,1960,2009
24,Somerst,187897,280624,4,4,1,2,1938,2003
25,BrkSide,123419,222672,3,3,2,2,1900,2001
26,CollgCr,150636,356257,4,4,2,3,1902,2021
27,Edwards,150015,293385,4,4,2,2,1976,2016
28,Crawfor,154268,373180,3,5,2,2,1991,2023
29,NWAmes,187939,286203,2,4,1,3,1961,2006
30,NoRidge,118141,251664,3,3,2,3,1962,2017
31,BrkSide,180356,215709,2,4,1,2,1924,2005
32,Crawfor,171910,291907,4,5,1,3,1955,2005
33,Mitchel,156044,249812,2,5,1,3,1932,2006
34,Crawfor,167214,333884,2,5,1,2,1937,2003
35,NWAmes,133827,256251,2,3,1,3,1905,2021
36,Mitchel,155820,312548,4,4,1,2,1957,2023
37,BrkSide,162623,324250,4,4,2,3,1943,2005
38,NWAmes,181734,234755,2,4,1,2,1944,2021
39,Veenker,175450,342484,2,5,1,2,1931,2005
40,NoRidge,193426,333984,3,3,1,2,1944,2010
41,BrkSide,122299,398343,2,5,2,3,1960,2010
42,Veenker,143585,339753,3,5,2,2,1946,2019
43,Edwards,164044,284897,2,4,1,3,1920,2017
44,BrkSide,142557,271296,3,5,2,2,1979,2021
45,Edwards,149080,300690,4,4,1,2,1984,2014
46,Mitchel,102693,211112,2,3,1,3,1974,2009
47,Veenker,195003,237505,2,4,2,2,1935,2014
